Amount,AuditTrial,ClearingSystem,Currency,CustomerSegment,Description,ExchangeRate,Fee,FromAccountID,MerchantName,PaymentDate,PaymentID,PaymentType,ToAccountID
52404.5,Congress out treatment past class treat total store money data year question.,SWIFT,GBP,Retail,Focus above why.,0.94,13.97,7590735714252,Fields Ltd,2024-01-29,8891296626,Cash,8317167199349
154326.79,Close herself claim former cell prepare last off do.,ACH,EUR,Retail,Another sister sell produce them entire.,0.73,72.89,3517331139717,"Ortiz, Freeman and Alvarado",2024-02-04,9243828979,Credit,8211871925311
187518.15,Market task plant space audience three why school guess interview customer.,RTGS,USD,Corporate,Plant two opportunity painting.,1.19,47.08,1362557549832,"Bartlett, Wiggins and Aguilar",2024-06-29,5453371300,Credit,3505362792084
54116.9,Choose quickly into final list personal realize.,ACH,GBP,Retail,Month discover participant reduce.,0.73,92.62,4229539624787,Ramsey Group,2024-03-22,5212082083,Credit,8998018625003
26960.45,Strong finish a front window bank sport down including above lead wall.,RTGS,GBP,Retail,Skin bad control.,0.96,38.72,5287980605479,Lewis-Knight,2024-07-20,1931141996,Cash,5443430848142
89460.45,Morning walk I per coach item beat.,SWIFT,GBP,Retail,Subject effort long push hotel until.,0.8,21.41,9660485607065,"Wright, Rubio and Lewis",2024-03-13,9649121778,Cash,7508406731884
19358.28,All site door account would marriage give medical fight yet rather meet.,ACH,EUR,Corporate,Which begin education production.,0.54,13.9,9112170302648,Jones Group,2024-05-27,1231421671,Online Transfer,4846291431556
130952.59,Believe study want fund green member heart employee situation what include possible nature.,ACH,USD,Retail,Significant dream term growth.,1.21,53.46,5140123316599,"Buchanan, Cunningham and Barton",2024-02-13,9625988858,Credit,7443757590794
134364.42,Hair half recently technology laugh future.,RTGS,USD,Retail,Say positive guess.,0.94,36.02,6565148774204,Watts-Anderson,2024-05-02,9225868579,Online Transfer,1302533314205
107269.81,Operation senior ever theory imagine ready year maybe land ever author.,RTGS,USD,Retail,Let blood may.,0.57,54.22,7516820726446,"Barrett, Norman and Morris",2024-04-28,4847562956,Credit,3139671298641
71893.76,Nation visit sport crime friend local.,SWIFT,GBP,Corporate,Example move try do cell professional.,0.8,80.63,4408907262199,Johnson-Smith,2024-06-26,9690930387,Online Transfer,9798925626708
169662.22,School major about prepare finish picture nothing house nice nation.,ACH,GBP,Corporate,Message answer whom my.,1.2,77.0,5225754351879,West-Krause,2024-05-18,7784188625,Online Transfer,7537585027662
154938.17,Ready finish building weight policy old stage interview stop work specific.,SWIFT,GBP,Retail,Consumer health reduce money.,0.58,67.08,6432965139021,Barton PLC,2024-04-28,7738648751,Credit,5883707428851
183965.83,Poor wind leader cause bed listen ground hand return continue dark can team.,SWIFT,EUR,Retail,Almost live drive the.,1.27,23.37,4577105916849,"Lin, Scott and Salinas",2024-03-08,2350284019,Cash,9208985959557
52779.9,Point all feel politics deep probably place dream by send let say.,SWIFT,EUR,Corporate,Place eye particularly.,0.69,69.71,3232130988612,"Mora, Cooper and Hart",2024-07-10,3955854428,Online Transfer,2489931886817
168244.15,Lot ok wish affect fund within best maybe appear small identify technology for.,RTGS,GBP,Retail,Growth sea answer practice.,1.12,94.68,8145997459843,Berger PLC,2024-02-08,5309505582,Credit,6267478892646
190275.92,Big at begin sure today letter even star common left strategy spring business.,SWIFT,GBP,Corporate,Rest community listen relationship.,1.03,31.81,5236961826344,Guzman Ltd,2024-05-09,8317034825,Online Transfer,3047702292567
99381.32,Find then be lose white thank set worker including employee family perform own.,ACH,USD,Corporate,Cut fine politics almost.,0.67,46.85,5066737875452,Howell-Taylor,2024-02-07,7098980171,Online Transfer,2829734918665
174553.11,Local interview late crime choose painting effect.,SWIFT,USD,Corporate,Year many forward up clear.,1.41,53.44,8584792118811,Graham-Greene,2024-02-03,2844184609,Online Transfer,2525764481132
54897.54,South pattern government professor discover whether situation dark finish.,RTGS,GBP,Retail,Go shoulder hospital why west court.,0.55,13.02,9807836296503,"Cantrell, Kemp and Richardson",2024-03-17,4179263247,Cash,2409476360332
110362.39,Wear to start apply address parent.,RTGS,GBP,Retail,Child guy bit heart area step.,0.63,11.99,3818045477447,Bennett-Miller,2024-02-11,9416240263,Credit,5110401763769
71267.28,Into wind evidence on they role.,RTGS,GBP,Retail,Oil relationship college also.,1.15,99.17,3793381356421,Sanchez PLC,2024-05-14,7211274168,Cash,7025375379485
161075.7,Join eight know interest or well son pretty authority feeling meeting develop.,RTGS,EUR,Retail,Institution provide south.,1.01,78.82,2389571062315,Sampson PLC,2024-06-18,1879663104,Online Transfer,7922177472406
12377.27,Central card test under beat hundred language party center language hold themselves.,ACH,EUR,Corporate,Lay phone glass.,0.66,55.19,1698403519537,Walton-Wallace,2024-07-19,6074389665,Credit,4569411552787
82845.73,Dark certainly I significant fast Mrs character give.,RTGS,USD,Retail,Live ask southern.,1.34,2.47,4860657599566,Miller-Reynolds,2024-07-11,9065141287,Credit,6105208227226
188619.33,Result if reality onto family find unit little fish.,ACH,USD,Corporate,Today shoulder society teach glass fine.,0.54,11.06,6966876448689,Lopez-Edwards,2024-04-19,3791169971,Cash,1453036967829
71724.98,Senior risk couple quite cold fly involve clear away apply team buy forward.,SWIFT,GBP,Retail,Church staff room.,1.03,54.51,9122404404159,Cummings-Andrews,2024-02-28,9584170720,Cash,2102987292462
21555.4,Yes quickly affect task million improve give others owner heart stage quality firm.,RTGS,EUR,Retail,Television seat up miss.,0.51,28.27,6926919640840,"Evans, Holt and Jacobs",2024-06-26,1610449488,Credit,1062756967242
123286.35,Arrive general effort claim boy generation attorney money degree direction close often.,SWIFT,GBP,Corporate,Sport teach ready prove field.,1.07,70.96,7900990540774,Carter Inc,2024-04-06,1812502889,Credit,4496881268152
170748.12,Develop thank baby argue of build occur she know.,RTGS,USD,Corporate,Meet none I choice.,1.49,94.73,9864369688158,Jordan Ltd,2024-04-10,8969209202,Cash,5791105839608
32134.74,Catch give black result any exist may or.,RTGS,USD,Corporate,Local you say.,0.52,97.42,3366547408607,"Friedman, Jones and Thomas",2024-03-09,8693898112,Credit,5740978988091
135857.68,During rate analysis affect second us hour response exactly clearly future.,ACH,USD,Corporate,Voice Republican even PM hotel.,1.23,57.47,5331190861780,"Snyder, Page and Williams",2024-04-25,8287258785,Credit,8947979871985
95263.24,Explain second TV into water this top change watch experience better sport voice.,RTGS,USD,Retail,Allow itself moment make field.,0.86,68.45,2996585657282,Cook-Ferrell,2024-03-15,2499486257,Cash,9340992142397
34781.94,Expect around buy relationship arrive health record level accept.,SWIFT,USD,Retail,Laugh eight national baby stock give.,0.55,65.82,3708706665487,"King, Conway and Cooper",2024-02-25,1733903114,Credit,4316238575467
142271.75,Put community old door just push seven model rule.,RTGS,GBP,Retail,Someone past fire investment.,0.6,99.01,1044789788133,"Green, Ferguson and Gould",2024-06-01,2068489008,Credit,8905154877834
138507.3,Together all ability letter final take toward listen anything one particularly room.,SWIFT,GBP,Corporate,Late should newspaper city.,1.21,85.23,1206271862340,"Donovan, Wong and Brown",2024-04-20,5934371517,Online Transfer,4800527898508
174932.39,Share her provide parent environment process.,ACH,GBP,Retail,Father clear eight specific.,1.03,36.52,4200996485120,Cochran-Moss,2024-05-23,5463554677,Credit,5409276789285
155507.41,Camera north now hear age test evening sort.,RTGS,USD,Corporate,Myself but Democrat eat question.,1.14,48.98,3974041670257,Small-York,2024-01-09,5344288006,Online Transfer,3710361079668
186154.21,Suggest truth leader alone day resource answer full development watch pull beat with.,RTGS,USD,Corporate,Store those rest available.,0.74,39.73,4597617852874,Miller and Sons,2024-07-16,3259323160,Credit,4541948775217
107645.55,Plan must government a recently meet.,SWIFT,GBP,Retail,Catch explain together despite during down.,1.18,61.06,1133700081529,Ward and Sons,2024-02-29,2354082032,Cash,6662556546254
