AccountID,Amount,Currency,Description,EventTs,Status,Suspecious,TransactionDate,TransactionFee,TransactionID,TransactionType
9822457545870,1222.3,EUR,Far clearly style.,2024-04-29 08:58:51,Failed,false,2024-01-29,31.3,558234816,Withdrawal
9969305561248,1394.61,USD,Capital ok officer customer almost hope.,2024-04-04 08:09:57,Completed,true,2024-07-22,43.45,175887054,Transfer
7042143227213,299.42,GBP,Involve create run.,2024-01-16 12:00:06,Completed,true,2024-02-16,43.55,397811751,Withdrawal
7301119846019,328.33,USD,Maintain check current.,2024-07-04 23:09:50,Failed,true,2024-06-21,6.04,943399692,Withdrawal
8558654948082,586.54,GBP,Too rule force ability common.,2024-06-27 06:45:18,Completed,true,2024-07-13,27.12,536784520,Deposit
2641201635545,1152.89,USD,His suggest purpose others.,2024-04-16 03:27:09,Failed,true,2024-06-13,32.45,525374194,Transfer
5229313461848,875.03,USD,Bad without perhaps reach second adult.,2024-06-06 18:35:07,Completed,true,2024-01-26,43.99,970955875,Transfer
3454865383691,214.01,GBP,Wrong explain power middle west late.,2024-01-09 17:56:18,Failed,true,2024-01-03,25.64,843933408,Transfer
4342438368204,1413.73,GBP,Writer huge born.,2024-05-05 02:01:14,Completed,true,2024-02-02,35.17,639530119,Withdrawal
1548162244618,1340.65,USD,Star drug type.,2024-01-27 17:05:04,Pending,true,2024-06-20,28.81,810939489,Deposit
1494755275337,1657.83,USD,Along everyone professor.,2024-03-26 16:06:05,Pending,false,2024-01-15,48.77,405488136,Withdrawal
9774725752102,340.75,EUR,Order than knowledge development trade long.,2024-03-10 10:06:33,Completed,false,2024-05-25,32.48,609588287,Deposit
8083164786821,502.59,USD,Capital particularly lay seek.,2024-05-30 10:39:43,Pending,false,2024-02-23,37.09,699625357,Transfer
6733113875887,634.24,EUR,Door mind unit assume necessary.,2024-01-16 06:12:03,Pending,false,2024-03-18,47.92,339440657,Withdrawal
2598618584070,415.61,USD,Know maybe region individual.,2024-01-08 22:33:07,Pending,false,2024-03-07,37.6,229152918,Withdrawal
4214099903095,1117.11,EUR,Factor somebody attorney why get audience.,2024-05-30 17:02:58,Pending,false,2024-01-15,24.69,611163139,Deposit
8981514751064,679.68,USD,Its out window organization.,2024-06-11 13:16:25,Failed,false,2024-07-16,41.33,589380926,Transfer
4418252643631,600.83,EUR,Decision certain suddenly ago.,2024-07-25 21:18:58,Completed,true,2024-01-20,43.06,607147330,Withdrawal
1053185915115,1808.27,EUR,Situation thousand big.,2024-05-22 00:54:14,Failed,false,2024-05-21,44.97,548351823,Withdrawal
6103696866299,1139.09,USD,Product young thing movement in expert.,2024-07-22 23:27:56,Failed,false,2024-03-15,49.41,557071147,Transfer
8664525008745,1615.12,USD,Protect possible focus.,2024-03-19 19:56:55,Pending,true,2024-07-16,14.1,870189852,Transfer
4346912581062,1749.6,EUR,Financial into hotel government.,2024-03-18 07:47:48,Failed,true,2024-04-22,6.15,978034646,Deposit
6862463943917,1663.83,EUR,Worry billion worry base probably.,2024-03-23 14:40:42,Completed,false,2024-04-30,2.74,869752916,Deposit
7918441424019,1074.84,EUR,So structure official attorney hard.,2024-03-15 21:47:09,Failed,true,2024-05-27,44.39,186050569,Deposit
3873628711298,1742.27,EUR,Learn life star nature point admit.,2024-02-20 07:02:04,Completed,false,2024-04-23,5.12,858459541,Withdrawal
8573119702322,1192.84,GBP,Heavy politics arrive.,2024-06-04 05:50:21,Completed,true,2024-04-20,35.97,301976461,Transfer
1021576051757,1695.88,EUR,Win some light power.,2024-03-01 17:35:46,Pending,false,2024-07-19,27.28,472476525,Deposit
6944978164275,367.87,USD,Product arrive your.,2024-02-19 20:20:38,Completed,false,2024-01-26,45.88,321467705,Withdrawal
2113705403673,413.73,USD,Teach leg short during window.,2024-05-25 10:39:12,Failed,false,2024-02-21,35.22,702777361,Transfer
7115592710510,523.45,GBP,Interest now seat turn painting.,2024-03-07 12:04:56,Completed,false,2024-03-12,11.72,971625409,Transfer
3035568378694,708.66,USD,Unit customer safe study.,2024-01-25 12:17:08,Completed,true,2024-07-27,39.44,657603674,Withdrawal
4195909455824,1378.65,USD,Relate floor opportunity tax back.,2024-04-27 01:05:19,Failed,false,2024-03-19,32.8,208474010,Deposit
4197585765708,1980.55,GBP,Fund visit worker term.,2024-04-18 07:47:48,Completed,false,2024-02-23,9.79,912992550,Transfer
8330753595214,351.51,GBP,Determine region continue cut.,2024-06-15 01:44:29,Pending,false,2024-01-25,3.36,364229159,Deposit
4034116209955,833.8,USD,Body wait particularly address budget.,2024-06-02 15:24:12,Pending,false,2024-05-01,37.91,181738305,Withdrawal
3675734278625,1629.17,USD,Out apply consumer special without.,2024-01-26 04:33:38,Pending,false,2024-05-25,26.17,940107780,Withdrawal
6134960118981,447.98,EUR,Serious behavior wife traditional successful mean.,2024-03-07 21:37:18,Failed,true,2024-02-06,1.42,682330493,Withdrawal
